,case_name,url,date,week,cite_as,casenum,judges,court,authorities,cited_act,cited_cases
0,"      The Mayor of London v the Secretary of State for Housing, Communities And Local Government & Ors [2020] EWHC 1176 (Admin) (12 May 2020)",    http://www.bailii.org/ew/cases/EWHC/Admin/2020/1176.html,2020-05-12,2020Wk2,"['Cite as: ', '[2020] EWHC 1176 (Admin)', '    ']", Case No: CO/4849/2019 &amp; CO/4851/2019  , THE HON. MR JUSTICE HOLGATE , IN THE HIGH COURT OF JUSTICE QUEEN'S BENCH DIVISION PLANNING COURT ,['(3) THE LONDON BOROUGH OF HARROW'],"['sections 66(1) and 72(1) of the Planning (Listed Buildings and Conservation Areas Act) 1990 // {1}', 'section 2A of the TCPA 1990 // {1}', 'section 66(1) of the Listed Building Act 1990 // {1}']","[' // {36} http://www.bailii.org/ew/cases/EWCA/Civ/2017/893.html', 'http://www.bailii.org/ew/cases/EWHC/Admin/2020/1176.html#para147 // {1} http://www.bailii.org/ew/cases/EWHC/Admin/2020/1176.html#para151', 'http://www.bailii.org/ew/cases/EWHC/Admin/2020/1176.html#para146 // {1} http://www.bailii.org/ew/cases/EWHC/Admin/2020/1176.html#para147', 'http://www.bailii.org/ew/cases/EWHC/Admin/2020/1176.html#para136 // {1} http://www.bailii.org/ew/cases/EWHC/Admin/2020/1176.html#para146', 'http://www.bailii.org/ew/cases/EWHC/Admin/2020/1176.html#para135 // {1} http://www.bailii.org/ew/cases/EWHC/Admin/2020/1176.html#para136', 'http://www.bailii.org/ew/cases/EWHC/Admin/2020/1176.html#para104 // {1} http://www.bailii.org/ew/cases/EWHC/Admin/2020/1176.html#para135', nan, 'http://www.bailii.org/ew/cases/EWHC/Admin/2020/1176.html#para94 // {1} http://www.bailii.org/ew/cases/EWHC/Admin/2020/1176.html#para104', 'Malloch v Aberdeen Corporation [1971] 1 WLR 1578, 1595 // {1} Link não disponível', 'http://www.bailii.org/ew/cases/EWHC/Admin/2020/1176.html#para151 // {1} http://www.bailii.org/ew/cases/EWHC/Admin/2020/1176.html#para156', ' // {36} http://www.bailii.org/ew/cases/EWHC/Admin/2014/754.html', ' // {36} http://www.bailii.org/ew/cases/EWHC/Admin/2009/964.html', ' // {36} http://www.bailii.org/ew/cases/EWHC/Admin/2009/2187.html', ' // {36} http://www.bailii.org/ew/cases/EWCA/Civ/2016/74.html', 'Hopkins Homes Limited v Secretary of State for Communities and Local Government [2017] 1 WLR 407 // {1} Link não disponível', 'Simplex GE (Holdings) Limited v Secretary of State for the Environment [2017] PTSR 1041 // {1} Link não disponível', 'Seddon Properties Limited v Secretary of State for the Environment (1981) 42 P & CR 26, 28 // {1} Link não disponível', ""Save Britain's Heritage v Number 1 Poultry Limited [1991] 1 WLR 153 // {1} Link não disponível"", 'George v Secretary of State for the Environment (1979) 77 LGR 689 // {1} Link não disponível', ' // {36} http://www.bailii.org/ew/cases/EWCA/Civ/2014/567.html', 'http://www.bailii.org/ew/cases/EWHC/Admin/2020/1176.html#para156 // {1} http://www.bailii.org/ew/cases/EWHC/Admin/2020/1176.html#para158', ' // {36} http://www.bailii.org/ew/cases/EWCA/Civ/2014/470.html', 'http://www.bailii.org/ew/cases/EWHC/Admin/2020/1176.html#para161 // {1} http://www.bailii.org/ew/cases/EWHC/Admin/2020/1176.html#para169', ' // {36} Link não disponível', 'http://www.bailii.org/ew/cases/EWHC/Admin/2020/1176.html#para158 // {1} http://www.bailii.org/ew/cases/EWHC/Admin/2020/1176.html#para161', ' // {36} http://www.bailii.org/ew/cases/EWHC/Admin/2020/518.html', 'http://www.bailii.org/ew/cases/EWHC/Admin/2020/1176.html#para70 // {2} http://www.bailii.org/ew/cases/EWHC/Admin/2020/1176.html#para94', 'http://www.bailii.org/ew/cases/EWHC/Admin/2020/1176.html#para69 // {1} http://www.bailii.org/ew/cases/EWHC/Admin/2020/1176.html#para70', ' // {36} http://www.bailii.org/ew/cases/EWCA/Civ/2014/1386.html', 'http://www.bailii.org/ew/cases/EWHC/Admin/2020/1176.html#para52 // {1} http://www.bailii.org/ew/cases/EWHC/Admin/2020/1176.html#para69', 'http://www.bailii.org/ew/cases/EWHC/Admin/2020/1176.html#para12 // {1} http://www.bailii.org/ew/cases/EWHC/Admin/2020/1176.html#para24', 'http://www.bailii.org/ew/cases/EWHC/Admin/2020/1176.html#para70 // {2} http://www.bailii.org/ew/cases/EWHC/Admin/2020/1176.html#para70', 'http://www.bailii.org/ew/cases/EWHC/Admin/2020/1176.html#para24 // {1} http://www.bailii.org/ew/cases/EWHC/Admin/2020/1176.html#para29', 'http://www.bailii.org/ew/cases/EWHC/Admin/2020/1176.html#para29 // {1} http://www.bailii.org/ew/cases/EWHC/Admin/2020/1176.html#para52', 'Fairmount Investments Limited v Secretary of State for the Environment [1976] 1 WLR 1255, 1263 // {1} Link não disponível']"
1,"      Lochailort Investments Ltd, R (on the application of) v Norton ST Philip Parish Council [2020] EWHC 1146 (Admin) (11 May 2020)",    http://www.bailii.org/ew/cases/EWHC/Admin/2020/1146.html,2020-05-11,2020Wk1,"['Cite as: ', '[2020] EWHC 1146 (Admin)', '    ']", Case No: CO/3929/2019 , MRS JUSTICE LANG DBE , IN THE HIGH COURT OF JUSTICE QUEEN'S BENCH DIVISION PLANNING COURT ,"['MENDIP DISTRICT COUNCIL', 'NORTON ST PHILIP PARISH COUNCIL']","['section 61N(2) TCPA 1990 // {3}', 'section 38A(2) of the Planning and Compulsory Purchase Act 2004 // {1}', 'section 38(3)(c) PCPA 2004 // {1}', 'sections 38A(3) and 38C(5) PCPA 2004 // {1}', 'section 38A(1) PCPA 2004 // {1}', 'section 38A(12) PCPA 2004 // {1}']","['LN Newham v Khatun  // {2} http://www.bailii.org/ew/cases/EWCA/Civ/2004/55.html', 'Hopkins Homes Ltd v Secretary of State for Communities and Local Government  // {2} Link não disponível', 'R (Wilbur Developments Limited) v Hart District Council  // {2} http://www.bailii.org/ew/cases/EWHC/Admin/2020/227.html', 'http://www.bailii.org/ew/cases/EWCA/Civ/2017/58.html // {1} http://www.bailii.org/ew/cases/EWCA/Civ/2017/58.html', 'R (DLA Delivery Ltd) v Lewes District Council // {2} http://www.bailii.org/ew/cases/EWCA/Civ/2017/58.html', 'R (CPRE Kent) v Dover District Council  // {2} http://www.bailii.org/uk/cases/UKSC/2017/79.html', 'Wiltshire Council v Cooper Estates // {2} Link não disponível', 'R (CPRE Kent) v Dover District Council  // {2} Link não disponível', 'R (Kebbell Developments Limited) v Leeds City Council  // {1} Link não disponível', 'R (Wilbur Developments Limited) v Hart District Council  // {2} Link não disponível', 'R (DLA Delivery Ltd) v Lewes District Council // {2} Link não disponível', 'R (Crownhall Estates Limited) v Chichester District Council  // {2} Link não disponível', 'R (Crownhall Estates Limited) v Chichester District Council // {2} http://www.bailii.org/ew/cases/EWHC/Admin/2016/73.html', 'Wiltshire Council v Cooper Estates // {2} http://www.bailii.org/ew/cases/EWCA/Civ/2019/840.html', 'Gallagher Homes Limited & Anor v Solihull MBC  // {2} Link não disponível', 'South Somerset District Council v Secretary of State for the Environment  // {2} Link não disponível', 'R (Crownhall Estates Limited) v Chichester District Council // {2} Link não disponível', 'Seddon Properties v Secretary of State for the Environment // {1} Link não disponível', 'LN Newham v Khatun  // {2} Link não disponível', 'Clarke Homes v Secretary of State for the Environment // {3} Link não disponível', 'Gallagher Homes Limited & Anor v Solihull MBC  // {2} http://www.bailii.org/ew/cases/EWHC/Admin/2014/1283.html', 'Woodcock Holdings Ltd v Secretary of State for Communities and Local Government  // {2} Link não disponível', 'R (Crownhall Estates Limited) v Chichester District Council  // {2} http://www.bailii.org/ew/cases/EWHC/Admin/2016/73.html', 'Hopkins Homes Ltd v Secretary of State for Communities and Local Government // {1} Link não disponível', 'Woodcock Holdings Ltd v Secretary of State for Communities and Local Government  // {2} http://www.bailii.org/ew/cases/EWHC/Admin/2015/1173.html', 'Carpets of Worth Ltd v Wyre Forest DC  // {1} Link não disponível', 'South Buckinghamshire District Council v Porter // {2} Link não disponível']"
2,"      The Open Spaces Society  v Secretary of State for Environment, Food And Rural Affairs [2020] EWHC 1085 (Admin) (05 May 2020)",    http://www.bailii.org/ew/cases/EWHC/Admin/2020/1085.html,2020-05-05,2020Wk2,"['Cite as: ', '[2020] EWHC 1085 (Admin)', '    ']", Case No: CO/59/2020 , MRS JUSTICE LIEVEN , IN THE HIGH COURT OF JUSTICE QUEEN'S BENCH DIVISION ADMINISTRATIVE COURT PLANNING COURT ,[],"['section 119 of the Highways Act 1980 // {1}', 'section 53A(2) of the Wildlife and Countryside Act 1981 // {1}']","['R v Secretary of State for the Environment ex p Stewart  // {1} Link não disponível', 'R (Hargrave) v Stroud District Council // {2} http://www.bailii.org/ew/cases/EWHC/Admin/2001/1128.html', 'R (Hargrave) v Stroud District Council [2001]  // {1} Link não disponível', 'R (Young) v Secretary of State for the Environment, Food and Rural Affairs  // {2} http://www.bailii.org/ew/cases/EWHC/Admin/2002/844.html', 'Ramblers Association v Secretary of State for Environment, Food and Rural Affairs, Weston and others  // {2} http://www.bailii.org/ew/cases/EWHC/Admin/2012/3333.html', 'R v Secretary of State for the Environment, ex parte Cheshire County Council  // {1} Link não disponível', 'R (Hargrave) v Stroud District Council // {2} Link não disponível', 'R (Young) v Secretary of State for the Environment, Food and Rural Affairs  // {2} Link não disponível', 'Ramblers Association v Secretary of State for Environment, Food and Rural Affairs, Weston and others  // {2} Link não disponível']"
3,"      Wiltshire Council, R (on the application of) v Secretary of State for Housing, Communities and Local Government & Anor [2020] EWHC 954 (Admin) (23 April 2020)",    http://www.bailii.org/ew/cases/EWHC/Admin/2020/954.html,2020-04-23,2020Wk4,"['Cite as: ', '[2020] WLR(D) 244,', '[2020] EWHC 954 (Admin)']", Case No: CO/5006/2019 , MRS JUSTICE LIEVEN , IN THE HIGH COURT OF JUSTICE QUEEN'S BENCH DIVISION ADMINISTRATIVE COURT PLANNING COURT ,['WILTSHIRE COUNCIL'],[],"['Miah v Secretary of State for Work and Pensions // {3} http://www.bailii.org/ew/cases/EWCA/Civ/2003/1111.html', 'http://www.bailii.org/ew/cases/EWHC/Admin/2001/1128.html // {1} http://www.bailii.orghttp://www.iclr.co.uk/document/2020003961/casereport_82fcae07-9751-4ddd-ab1a-9d3780c6b0ce/html', 'Tesco v Dundee CC // {1} Link não disponível', ' // {36} http://www.bailii.org/ew/cases/EWHC/Admin/2014/754.html', 'Tesco v Dundee // {7} Link não disponível', 'Gravesham DC v SSE 1982 47 P&CR 142 // {1} Link não disponível', 'Miah v Secretary of State for Work and Pensions // {3} Link não disponível', ' // {36} Link não disponível']"
4,"      Hampshire County Council v Secretary of State for Environment, Food and Rural Affairs & Ors [2020] EWHC 959 (Admin) (23 April 2020)",    http://www.bailii.org/ew/cases/EWHC/Admin/2020/959.html,2020-04-23,2020Wk4,"['Cite as: ', '[2020] EWHC 959 (Admin),', '[2020] WLR(D) 252']", Case No: CO/3493/2019 , THE HON. MR JUSTICE HOLGATE , IN THE HIGH COURT OF JUSTICE QUEEN'S BENCH DIVISION PLANNING COURT ,['Hampshire County Council'],"['section 10 of the 1965 // {1}', 'Section 13 of the 1965 // {1}', 'Section 193 of the Law of Property Act 1925 // {1}', 'sections of runway in the eastern part of the site ceased to be used in about 1964 // {1}']","['Attorney General ex rel. Sutcliffe v Calderdale Borough Council (1982) 46 P & CR 399 // {1} Link não disponível', 'Manson v Duke of Westminster [1981] QB 323, 332) // {1} Link não disponível', ' // {36} http://www.bailii.org/ew/cases/EWHC/Admin/2017/1493.html', ""Sinclair Lockhart's Trustees v Central Land Board (1950) 1 P & CR 195 // {1} Link não disponível"", 'Debenhams plc v Westminster City Council [1987] AC 396 // {1} Link não disponível', 'Challenge Fencing Limited v Secretary of State for Housing Communities and Local Government [2019] EWHC 553 (Admin) // {1} Link não disponível', 'Tesco v Dundee // {7} http://www.bailii.orghttp://www.iclr.co.uk/document/2020003960/casereport_f16c5433-ecdf-42ae-9062-af91c0ebc8d0/html', 'Caledonian Railway Company v Turcan [1898] AC 256 at 263, 266 // {1} Link não disponível', 'English Clays Lovering Pochin & Co. Ltd v Plymouth Corporation [1973] 1 WLR 1346 // {1} Link não disponível', 'Jones v Wrotham Park Settled Estates [1980] AC 74, 113; // {1} Link não disponível', 'Debenhams plc v Westminster City Council // {1} Link não disponível', 'Paul v Ayrshire County Council [1964] SLT 207, 209, 212 // {1} Link não disponível', 'R v Suffolk County Council ex parte Steed (1996) 71 P & CR 463 // {1} Link não disponível', 'Pilbrow v Vestry of St. Leonard, Shoreditch [1895] 1 QB 433 // {1} Link não disponível', 'Methuen-Campbell v Walters // {1} Link não disponível', 'Methuen-Campbell v Walters [1979] QB 525 // {1} Link não disponível', 'Evans v Angell (1858) 26 Beav. 202 // {1} Link não disponível', ' // {36} Link não disponível', 'Trim v Sturminster District Council [1938] 2 QB 508 // {1} Link não disponível', 'Clymo v Shell-Mex & BP Limited (1963) 10 RRC 85; [1963] RVR 471 // {1} Link não disponível', 'Barwick and Barwick v Kent County Council (1992) 24 HLR 341 // {1} Link não disponível', 'Lowe v First Secretary of State [2003] P & CR 24 [14] and [21] // {1} Link não disponível', 'Burdle v Secretary of State for Environment [1972] 1 WLR 1207, 1212 // {2} Link não disponível', 'Dyer v Dorset County Council // {1} Link não disponível', 'Dyer v Dorset County Council [1989] QB 346 // {1} Link não disponível', 'Barwick and Barwick v Kent County Council // {1} Link não disponível', 'Trim v Sturminster Rural District Council [1938] 2 KB 508 // {1} Link não disponível']"
5,      T & P Real Estate Ltd v London Borough of Sutton [2020] EWHC 879 (Ch) (21 April 2020),    http://www.bailii.org/ew/cases/EWHC/Ch/2020/879.html,2020-04-21,2020Wk2,"['Cite as: ', '[2020] EWHC 879 (Ch)', '    ']", Case No: PT-2019-000766 , DEPUTY MASTER BOWLES , IN THE HIGH COURT OF JUSTICE BUSINESS AND  PROPERTY COURTS  OF ENGLAND AND WALES PROPERTY TRUSTS AND PROBATE LIST (CH D)  ,['Burgesses of the London Borough of Sutton'],"['section of the 1990 // {1}', 'section 78 of the 1990 // {1}', 'section 78 of the Town and Country Planning Act 1990 // {1}', 'section 288 of the 1990 // {3}']","['Burdle v Secretary of State for Environment [1972] 1 WLR 1207, 1212 // {2} http://www.bailii.org/ew/cases/EWHC/Admin/2018/2896.html', 'http://www.bailii.org/ew/cases/EWCA/Civ/2010/1446.html // {1} http://www.bailii.org/ew/cases/EWHC/Admin/2014/3748.html', 'http://www.bailii.org/ew/cases/EWHC/Admin/2014/3748.html // {1} http://www.bailii.org/ew/cases/EWCA/Civ/2017/1998.html', 'http://www.bailii.org/ew/cases/EWHC/Admin/2018/2896.html // {1} http://www.bailii.org/ew/cases/EWCA/Civ/2010/1446.html']"
6,"      Corbett, R (On the Application Of) v  [2020] EWCA Civ 508 (09 April 2020)",    http://www.bailii.org/ew/cases/EWCA/Civ/2020/508.html,2020-04-09,2020Wk4,"['Cite as: ', '[2020] EWCA Civ 508', '    ']", Case No: C1/2019/2179 , Lord Justice Lewison Lord Justice Lindblom  and Lord Justice Leggatt , IN THE COURT OF APPEAL (CIVIL DIVISION) ON APPEAL FROM THE ADMINISTRATIVE COURT PLANNING COURT MR C.M.G. OCKELTON (sitting as a deputy judge of the High Court) ,['The Cornwall Council'],"['section 70(2) of the Town and Country Planning Act 1990 // {1}', 'section 38(6) of the Planning and Compulsory Purchase Act 2004 // {1}', 'section 38(6) of the 2004 // {3}', 'section 70(2) of the 1990 // {2}']","['R. (on the application of Morge) v Hampshire County Council  // {2} Link não disponível', 'Moore v Secretary of State for Communities and Local Government // {2} Link não disponível', 'R. (on the application of TW Logistics Ltd.) v Tendring District Council // {2} Link não disponível', 'BDW Trading Ltd. v Secretary of State for Communities and Local Government // {2} Link não disponível', 'Chichester District Council v Secretary of State for Housing, Communities and Local Government  // {2} http://www.bailii.org/ew/cases/EWCA/Civ/2019/1640.html', 'Gravesham Borough Council v Secretary of State for the Environment // {1} Link não disponível', ' Gladman Developments Ltd. v Canterbury City Council  // {2} Link não disponível', ' Tesco v Dundee City Council // {1} Link não disponível', 'Tesco Stores Ltd. v Dundee City Council // {2} Link não disponível', ' Mansell v Tonbridge and Malling Borough Council // {2} Link não disponível', 'R. v Rochdale Metropolitan Borough Council, ex parte Milne  // {2} Link não disponível', 'City of Edinburgh Council v Secretary of State for Scotland  // {2} Link não disponível', 'Crane v Secretary of State for Communities and Local Government // {2} Link não disponível', 'Chichester District Council v Secretary of State for Housing, Communities and Local Government  // {2} Link não disponível', 'Tesco v Dundee City Council // {3} Link não disponível', 'Moore v Secretary of State for Communities and Local Government // {2} http://www.bailii.org/ew/cases/EWCA/Civ/2012/1202.html', 'R. (on the application of TW Logistics Ltd.) v Tendring District Council // {2} http://www.bailii.org/ew/cases/EWCA/Civ/2013/9.html', 'http://www.bailii.org/ew/cases/EWCA/Civ/2017/1314.html // {1} http://www.bailii.org/ew/cases/EWCA/Civ/2017/1314.html', 'BDW Trading Ltd. v Secretary of State for Communities and Local Government // {2} http://www.bailii.org/ew/cases/EWCA/Civ/2016/493.html', 'http://www.bailii.org/ew/cases/EWCA/Civ/2016/493.html // {1} http://www.bailii.org/ew/cases/EWCA/Civ/2016/493.html', ' Gladman Developments Ltd. v Canterbury City Council  // {2} http://www.bailii.org/ew/cases/EWCA/Civ/2019/669.html', 'http://www.bailii.org/ew/cases/EWCA/Civ/2019/669.html // {1} http://www.bailii.org/ew/cases/EWCA/Civ/2019/1642.html', ' Mansell v Tonbridge and Malling Borough Council // {2} http://www.bailii.org/ew/cases/EWCA/Civ/2017/1314.html', 'R. v Akhtar and Akhtar // {1} Link não disponível', 'Crane v Secretary of State for Communities and Local Government // {2} http://www.bailii.org/ew/cases/EWHC/Admin/2015/425.html', 'http://www.bailii.org/ew/cases/EWCA/Civ/2017/1998.html // {1} http://www.bailii.org/ew/cases/EWHC/Admin/2019/1022.html', 'R. (on the application of Morge) v Hampshire County Council  // {2} http://www.bailii.org/uk/cases/UKSC/2011/2.html', 'Tesco Stores Ltd. v Dundee City Council // {2} http://www.bailii.org/uk/cases/UKSC/2012/13.html', 'R. v Rochdale Metropolitan Borough Council, ex parte Milne  // {2} http://www.bailii.org/ew/cases/EWHC/Admin/2000/650.html']"
7,      South Derbyshire District Council v Secretary of State for Housing Communities and Local Government [2020] EWHC 872 (Admin) (09 April 2020),    http://www.bailii.org/ew/cases/EWHC/Admin/2020/872.html,2020-04-09,2020Wk4,"['Cite as: ', '[2020] WLR(D) 229,', '[2020] EWHC 872 (Admin)']", Case No: CO/4505/2019 , THE HONOURABLE MRS JUSTICE ANDREWS DBE , IN THE HIGH COURT OF JUSTICE QUEEN'S BENCH DIVISION PLANNING COURT IN BIRMINGHAM ,['SOUTH DERBYSHIRE DISTRICT COUNCIL'],[],"['Hopkins Homes Ltd v Secretary of State for Communities and Local Government  // {2} Link não disponível', 'Hashtroodi v Hancock // {2} Link não disponível', 'Pritam Kaur v S. Russell & Sons Ltd  // {1} Link não disponível', 'Croke v Secretary of State for Communities and Local Government // {2} Link não disponível', 'Hashtroodi v Hancock // {2} http://www.bailii.org/ew/cases/EWCA/Civ/2004/652.html', 'Summers and others v Minister of Health // {1} Link não disponível', 'Mendip District Council v Secretary of State for the Environment and another // {1} Link não disponível', 'Tesco v Dundee City Council // {3} http://www.bailii.orghttp://www.iclr.co.uk/document/2020003715/casereport_5ca1e194-81f3-48d0-8d0e-49aa666836ba/html', 'Gladman Developments Ltd v Canterbury City Council // {2} http://www.bailii.org/ew/cases/EWCA/Civ/2019/669.html', 'Gladman Developments Ltd v Canterbury City Council // {2} Link não disponível', 'Chichester DC v Secretary of State for Housing Communities and Local Government // {2} http://www.bailii.org/ew/cases/EWCA/Civ/2019/1640.html', 'Croke v Secretary of State for Communities and Local Government // {2} http://www.bailii.org/ew/cases/EWCA/Civ/2019/54.html', 'Chichester DC v Secretary of State for Housing Communities and Local Government // {2} Link não disponível']"
8,"      Qatar National Bank (QPSC) v  Force India, The Owners of the Yacht [2020] EWHC 719 (Admlty) (25 March 2020)",    http://www.bailii.org/ew/cases/EWHC/Admlty/2020/719.html,2020-03-25,2020Wk3,"['Cite as: ', '[2020] EWHC 719 (Admlty)', '    ']", Case No: AD 2018 000096 , MR. JUSTICE TEARE , IN THE HIGH COURT OF JUSTICE QUEEN'S BENCH DIVISION ADMIRALTY COURT ADMIRALRY ACTION IN REM AGAINST THE YACHT FORCE INDIA ,[],[],['http://www.bailii.org/ew/cases/EWCA/Civ/2019/1640.html // {1} http://www.bailii.org/ew/cases/EWHC/Admlty/2020/103.html']
9,"      Starbones Ltd v Secretary of State for Housing, Communities and Local Government & Ors [2020] EWHC 526 (Admin) (10 March 2020)",    http://www.bailii.org/ew/cases/EWHC/Admin/2020/526.html,2020-03-10,2020Wk2,"['Cite as: ', '[2020] EWHC 526 (Admin)', '    ']", Case No: CO/3356/2019 , MRS JUSTICE LANG DBE , IN THE HIGH COURT OF JUSTICE QUEEN'S BENCH DIVISION PLANNING COURT ,"['(1) SECRETARY OF STATE FOR HOUSING, COMMUNITIES AND LOCAL GOVERNMENT (2) LONDON BOROUGH OF HOUNSLOW (3) TRUSTEES OF THE ROYAL BOTANIC GARDENS, KEW']","['section 70(2) TCPA 1990 // {1}', 'section 66(1) PLBCAA 1990 // {1}', 'Section 72(1) PLBCAA 1990 // {1}', 'Section 66(1) PLBCAA 1990 // {1}', 'Section 38(6) of the Planning and Compulsory Purchase Act 2004 // {1}', 'section 23 of the National Heritage Act 1983 // {1}', 'section 288 TCPA 1990 // {3}', 'section 66 of the Planning (Listed Buildings and Conservation Areas) Act 1990 // {1}', 'section 78 TCPA 1990 // {1}', 'section 288 of the Town and Country Planning Act 1990 // {1}', 'Section 70(2) TCPA 1990 // {1}', 'section 38(6) PCPA 2004 // {1}']","['R (CPRE Kent) v Dover District Council // {4} http://www.bailii.org/uk/cases/UKSC/2017/79.html', 'http://www.bailii.org/uk/cases/UKSC/2012/13.html // {1} http://www.bailii.org/uk/cases/UKSC/2012/13.html', 'St Modwen Developments Ltd v Secretary of State for Communities and Local Government  // {2} http://www.bailii.org/ew/cases/EWCA/Civ/2017/1643.html', 'Newsmith v Secretary of State for the Environment, Transport and the Regions // {2} http://www.bailii.org/ew/cases/EWHC/Admin/2001/74.html', 'Tesco Stores Limited v Dundee City Council  // {2} http://www.bailii.org/uk/cases/UKSC/2012/13.html', 'St Modwen Developments Ltd v Secretary of State for Communities and Local Government  // {2} Link não disponível', 'Ecotricity (Next Generation) Limited v Secretary of State for Communities and Local Government  // {2} http://www.bailii.org/ew/cases/EWCA/Civ/2015/657.html', 'Seddon Properties Ltd v Secretary of State for the Environment // {1} Link não disponível', 'Newsmith v Secretary of State for the Environment, Transport and the Regions // {2} Link não disponível', 'Hopkins Homes v Secretary of State Communities // {1} Link não disponível', 'South Lakeland v Secretary of State for the Environment  // {1} Link não disponível', 'Hopkins Homes v Secretary of State for Communities and Local Government // {1} Link não disponível', 'Ecotricity (Next Generation) Limited v Secretary of State for Communities and Local Government  // {2} Link não disponível', 'Clarke Homes v Secretary of State for the Environment // {3} Link não disponível', 'Barnwell Manor Wind Energy Limited v East Northamptonshire District Council & Ors  // {2} Link não disponível', 'Secretary of State for Communities and Local Government v Allen // {2} http://www.bailii.org/ew/cases/EWCA/Civ/2016/767.html', 'Tesco Stores Limited v Dundee City Council  // {2} Link não disponível', 'Coal Contractors Limited v Secretary of State for the Environment and Northumberland County Council // {1} Link não disponível', ' R. v Secretary of State for the Environment Ex p. Gosport // {1} Link não disponível', 'R (CPRE Kent) v Dover District Council // {4} Link não disponível', 'South Buckinghamshire District Council v Porter // {2} Link não disponível', 'South Somerset District Council v Secretary of State for the Environment  // {2} Link não disponível', 'Seddon Properties Ltd v Secretary of State for the Environment  // {1} Link não disponível', 'Secretary of State for Communities and Local Government v Allen // {2} Link não disponível', 'Barnwell Manor Wind Energy Limited v East Northamptonshire District Council & Ors  // {2} http://www.bailii.org/ew/cases/EWCA/Civ/2014/137.html', 'City of Edinburgh Council v Secretary of State for Scotland  // {2} Link não disponível', 'Distinctive Properties (Ascot) Ltd v Secretary of State for Communities and Local Government  // {1} Link não disponível']"
